,date,open,close,high,low,volume,code,m5,m10,m30
51,2013/1/11,7.487,7.316,7.711,7.279,8717322,600000,7.0476,6.3638,5.9282
52,2013/1/18,7.264,7.569,7.755,7.264,7659102,600000,7.2354,6.5597,5.977733333
53,2013/1/25,7.599,7.942,8.225,7.487,9862724,600000,7.4872,6.8056,6.040433333
54,2013/2/1,7.942,8.903,8.917,7.934,10306320,600000,7.839,7.1364,6.1353
55,2013/2/8,8.925,8.448,9.141,8.24,10933317,600000,8.0356,7.4254,6.218966667
56,2013/2/22,8.508,7.554,8.567,7.45,9321577,600000,8.0832,7.5654,6.2788
57,2013/3/1,7.606,8.321,8.426,7.562,9615501,600000,8.2336,7.7345,6.3672
58,2013/3/8,8.091,7.979,8.426,7.651,9948428,600000,8.241,7.8641,6.447166667
59,2013/3/15,7.949,7.83,8.143,7.532,7098627,600000,8.0264,7.9327,6.515966667
60,2013/3/22,7.778,8.24,8.403,7.74,8268652,600000,7.9848,8.0102,6.596933333
61,2013/3/29,8.292,7.547,8.374,7.211,7582604,600000,7.9834,8.0333,6.661
62,2013/4/3,7.495,7.495,7.599,7.405,2484993,600000,7.8182,8.0259,6.724833333
63,2013/4/12,7.353,7.405,7.539,7.226,2950282,600000,7.7034,7.9722,6.7827
64,2013/4/19,7.405,7.554,7.591,7.018,5704137,600000,7.6482,7.8373,6.845766667
65,2013/4/26,7.532,7.36,7.666,7.279,4643022,600000,7.4722,7.7285,6.904366667
66,2013/5/3,7.279,7.457,7.577,7.197,1900412,600000,7.4542,7.7188,6.9739
67,2013/5/10,7.472,7.472,7.606,7.368,3479089,600000,7.4496,7.6339,7.0397
68,2013/5/17,7.465,7.629,7.658,7.331,4162206,600000,7.4944,7.5989,7.109
69,2013/5/24,7.644,7.599,7.852,7.524,4655495,600000,7.5034,7.5758,7.174066667
70,2013/5/31,7.606,7.8,7.912,7.584,4637132,600000,7.5914,7.5318,7.2488
71,2013/6/7,7.839,7.352,7.871,7.328,3445177,600000,7.5704,7.5123,7.303133333
72,2013/6/14,7.273,7.092,7.273,7.006,2053508,600000,7.4944,7.472,7.352533333
73,2013/6/21,7.116,6.51,7.171,6.463,4305167,600000,7.2706,7.3825,7.386766667
74,2013/6/28,6.518,6.51,6.526,5.645,9109445,600000,7.0528,7.2781,7.417266667
75,2013/7/5,6.463,6.377,6.51,6.251,3842955,600000,6.7682,7.1798,7.444566667
76,2013/7/12,6.29,6.675,7.013,6.196,6021348,600000,6.6328,7.1016,7.461933333
77,2013/7/19,6.723,6.314,6.848,6.306,4370575,600000,6.4772,6.9858,7.4514
78,2013/7/26,6.211,6.267,6.471,6.149,4036803,600000,6.4286,6.8496,7.437533333
79,2013/8/2,6.211,6.274,6.384,6.062,3204879,600000,6.3814,6.7171,7.408533333
80,2013/8/9,6.274,6.298,6.4,6.251,3146292,600000,6.3656,6.5669,7.369633333
81,2013/8/16,6.322,6.534,7.108,6.298,7151841,600000,6.3374,6.4851,7.343566667
82,2013/8/23,6.479,6.62,6.903,6.471,5218989,600000,6.3986,6.4379,7.311933333
83,2013/8/30,6.644,7.069,7.241,6.605,9056081,600000,6.559,6.4938,7.282833333
84,2013/9/6,7.163,7.525,7.76,6.99,8186300,600000,6.8092,6.5953,7.2369
85,2013/9/13,8.083,9.364,9.75,8.004,40849383,600000,7.4224,6.894,7.267433333
86,2013/9/18,9.435,8.649,9.451,8.468,16114033,600000,7.8454,7.0914,7.303933333
87,2013/9/27,8.688,8.051,8.806,7.902,20069530,600000,8.1316,7.2651,7.294933333
88,2013/9/30,8.13,7.933,8.154,7.878,2565109,600000,8.3044,7.4317,7.2934
89,2013/10/11,7.886,8.295,8.374,7.768,11936455,600000,8.4584,7.6338,7.3089
90,2013/10/18,8.216,7.768,8.256,7.705,9787592,600000,8.1392,7.7808,7.293166667
91,2013/10/25,7.823,7.918,8.138,7.705,10549029,600000,7.993,7.9192,7.305533333
92,2013/11/1,7.926,8.193,8.405,7.8,13351726,600000,8.0214,8.0765,7.3288
